product_id,camera_video
59589,"4K@30fps, 1080p@30fps"
64327,"1440p@30fps, 1080p@30fps"
72198,"8K@24fps, 4K@30/60fps, 1080p@30/60/120/240/960fps, 720p@1920fps, gyro-EIS"
46376,"8K@30fps, 4K@30/60fps, 1080p@30/60fps, gyro-EIS"
65917,N/A
85279,N/A
87082,HD 720p@30fpsFullHD 1080p@30fps
60677,N/A
25663,"Trước: 1080p@30fps, 720p@120fpsSau: 8K@24fps, 4K@30/60fps, 1080p@30/60/120/240/960fps; gyro-EIS"
55079,"4K@30/60fps, 1080p@30/60fps, 1080p@960fps; gyro-EIS"
62305,1080p@30fps
26380,"8K@30fps, 4K@30/60fps, 1080p@30/60/120/240/960fps; gyro-EIS"
27852,"4K@30fps, 1080p@30fps"
72199,"4K@30fps, 1080p@30/60/120fps, 720p@960fps, gyro-EIS"
81322,HD 720p@30fpsFullHD 1080p@30fps
66376,N/A
53774,"8K@24fps, 4K@30/60fps, 1080p@30/60fps, gyro-EIS"
55933,"4K@30fps, 1080p@30fps"
55756,"4K@30fps, 1080p@30/60/120/480fps, 720p@960fpsCon quay hồi chuyển EIS"
85263,N/A
73955,FullHD 1080p@30fps
67045,"4K@30/60fps, 1080p@30/60fps, gyro-EIS"
55514,"4K@30/60fps, 1080@30/60/120/240fpsCon quay hồi chuyển EIS"
82273,1080p@30fpsHD 720p@30/120fps
72221,N/A
51346,N/A
61506,"8K@30fps, 4K@30/60fps, 1080p@30/60fps, gyro-EIS"
28759,N/A
84534,N/A
62019,1080p@30fps
60319,N/A
31468,"4K@30/60fps, 1080p@30/60/480fps, gyro-EIS"
84461,N/A
63451,"4K@30/60fps, 1080p@30/60/120/240fps, 10-bit HDR"
74090,1080p@30fps
75776,N/A
63187,"4K@30fps, 1080p@30/60fps, gyro-EIS, live HDR"
73552,N/A
60342,N/A
51223,1080p@30fps
54455,1080p@30fps
49969,1080P/30fps720P/30fps1080P/120fps
60622,N/A
50771,"8K@30fps, 4K@30/60fps , 1080p@30/60/120/240fps"
62013,"8K, 4K, 1080p; gyro-EIS"
54438,1080p@30fps
55082,"8K@30fps, 4K@30/60fps, 1080p@30/60fps, gyro-EIS, 14-bit RAW video"
66360,N/A
64064,"4K@30fps, 1080p@30/60fps, gyro-EIS"
50678,"8K@30fps, 4K@24/30/60fps, 1080p@30/60fpsCon quay hồi chuyển EIS"
84463,N/A
60625,"4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS"
60755,1080p@30fps
72502,4K 2160p@30fpsFullHD 1080p@480/120/60/30fpsHD 720p@960/240/60/30fps
59252,N/A
53437,1080p@30fps
64072,N/A
67547,1080p@30fps
55512,"4K@30fps, 1080p@30/60/120fps1080p@30fps (gyro-EIS)"
60694,N/A
64836,N/A
59597,N/A
46949,1080p@30fps
67366,N/A
63900,"4K@30fps, 1080p@30fps, HDR"
35922,"4K@30fps, 1080p@30/60/120fps, 720p@960fps; gyro-EIS"
60695,N/A
64269,"4K@30/60fps, 1080p@30/60/120fps, HDR10+, gyro-EIS"
28988,"4K@30/60fps, 1080p@30/60/120/240/80fps, 720p@960fps, 720p@3840fps, HDR, gyro-EIS"
67369,1920x1080 pixels
72501,4K 2160p@30fpsFullHD 1080p@480/120/60/30fpsHD 720p@960/240/60/30fps
60165,"4K@30/60fps, 1080p@30/60fps, gyro-EIS"
72216,"4K@30/60fps, 1080p@30/60fps"
74344,N/A
53272,N/A
67731,N/A
53276,"4K@30/60fps, 1080p@30/60fps; con quay hồi chuyển EIS; HDR"
62345,N/A
72192,N/A
52711,N/A
66362,N/A
63453,"6K@30fps, 4K@30fps, 1080p@30/60/120fps, gyro-EIS"
55513,"4K@30fps, 1080p@30/60/120fps1080p @ 30fps (gyro-EIS)"
78042,N/A
49581,1080p@30fps
63070,N/A
62323,N/A
59052,1080p@30fps
62089,N/A
62040,N/A
60679,"4K@30fps, 1080p@30/60/120fps, 720p@960fps; gyro-EIS"
74345,N/A
67356,1920 x 1080 pixels
63454,1080p@30fps
52303,N/A
85457,N/A
